summary_id,rater,conversation,model,specialty,condition,order_position
S385,rater_3,CAR0004,gpt-oss-20b,CAR,Chest Pain,65
S386,rater_3,MSK0003,medgemma-4b,MSK,Back Pain,66
S387,rater_3,MSK0031,medgemma-4b,MSK,Hip Fracture,67
S388,rater_3,RES0168,gpt-oss-120b,RES,Sinus Infection,68
S389,rater_3,GAS0001,gpt-oss-20b,GAS,Morning Sickness,69
S390,rater_3,RES0111,qwen3-32b,RES,Sore Throat,70
S391,rater_3,MSK0038,medgemma-4b,MSK,Knee Pain,71
S392,rater_3,CAR0001,gpt-oss-20b,CAR,Chest Pain,72
S393,rater_3,GAS0005,qwen3-32b,GAS,Gastroenteritis,73
S394,rater_3,MSK0014,gpt-oss-20b,MSK,Knee Arthritis,74
S395,rater_3,RES0060,gpt-oss-20b,RES,Acute Bronchitis,75
S396,rater_3,RES0155,medgemma-4b,RES,Pneumonia,76
S397,rater_3,RES0009,qwen3-32b,RES,Chest Pain,77
S398,rater_3,RES0155,gpt-oss-120b,RES,Pneumonia,78
S399,rater_3,MSK0019,qwen3-32b,MSK,Tennis Elbow,79
S400,rater_3,RES0194,medgemma-4b,RES,Upper Respiratory Infection,80
S401,rater_3,GAS0003,medgemma-4b,GAS,Abdominal Pain,81
S402,rater_3,RES0143,gpt-oss-20b,RES,Common Cold,82
S403,rater_3,RES0008,qwen3-32b,RES,Pneumonia,83
S404,rater_3,DER0001,gpt-oss-20b,DER,Cellulitis,84
S405,rater_3,GAS0005,medgemma-4b,GAS,Gastroenteritis,85
S406,rater_3,MSK0037,medgemma-4b,MSK,Dupuytren's Contracture,86
S407,rater_3,GAS0002,gpt-oss-120b,GAS,Abdominal Pain,87
S408,rater_3,MSK0016,qwen3-32b,MSK,Carpal Tunnel Syndrome,88
S409,rater_3,DER0001,gpt-oss-120b,DER,Cellulitis,89
S410,rater_3,RES0009,medgemma-4b,RES,Chest Pain,90
S411,rater_3,GAS0001,gpt-oss-120b,GAS,Morning Sickness,91
S412,rater_3,MSK0031,qwen3-32b,MSK,Hip Fracture,92
S413,rater_3,CAR0005,gpt-oss-20b,CAR,Chest Pain,93
S414,rater_3,GAS0004,gpt-oss-120b,GAS,Acute Diarrhea,94
S415,rater_3,RES0009,gpt-oss-20b,RES,Chest Pain,95
S416,rater_3,RES0029,qwen3-32b,RES,Chest Pain,96
S417,rater_3,RES0060,medgemma-4b,RES,Acute Bronchitis,97
S418,rater_3,RES0007,gpt-oss-20b,RES,Asthma,98
S419,rater_3,RES0193,gpt-oss-20b,RES,Asthma,99
S420,rater_3,RES0194,gpt-oss-120b,RES,Upper Respiratory Infection,100
S421,rater_3,RES0062,qwen3-32b,RES,Pneumonia,101
S422,rater_3,GAS0004,medgemma-4b,GAS,Acute Diarrhea,102
S423,rater_3,RES0193,gpt-oss-120b,RES,Asthma,103
S424,rater_3,MSK0038,qwen3-32b,MSK,Knee Pain,104
S425,rater_3,RES0143,qwen3-32b,RES,Common Cold,105
S426,rater_3,MSK0014,gpt-oss-120b,MSK,Knee Arthritis,106
S427,rater_3,RES0143,medgemma-4b,RES,Common Cold,107
S428,rater_3,MSK0019,gpt-oss-20b,MSK,Tennis Elbow,108
S429,rater_3,MSK0003,qwen3-32b,MSK,Back Pain,109
S430,rater_3,RES0065,medgemma-4b,RES,Sore Throat,110
S431,rater_3,RES0023,gpt-oss-120b,RES,Acute Bronchitis,111
S432,rater_3,RES0073,qwen3-32b,RES,Sinusitis,112
S433,rater_3,RES0062,gpt-oss-120b,RES,Pneumonia,113
S434,rater_3,RES0193,medgemma-4b,RES,Asthma,114
S435,rater_3,RES0178,medgemma-4b,RES,Upper Respiratory Infection,115
S436,rater_3,RES0168,medgemma-4b,RES,Sinus Infection,116
S437,rater_3,RES0073,medgemma-4b,RES,Sinusitis,117
S438,rater_3,RES0036,gpt-oss-120b,RES,Pneumonia,118
S439,rater_3,MSK0019,gpt-oss-120b,MSK,Tennis Elbow,119
S440,rater_3,MSK0028,qwen3-32b,MSK,Bicep Tendonitis,120
S441,rater_3,RES0062,medgemma-4b,RES,Pneumonia,121
S442,rater_3,GAS0003,gpt-oss-120b,GAS,Abdominal Pain,122
S443,rater_3,MSK0037,gpt-oss-20b,MSK,Dupuytren's Contracture,123
S444,rater_3,CAR0005,qwen3-32b,CAR,Chest Pain,124
S445,rater_3,RES0058,medgemma-4b,RES,Upper Respiratory Infection,125
S446,rater_3,RES0060,qwen3-32b,RES,Acute Bronchitis,126
S447,rater_3,MSK0041,qwen3-32b,MSK,Foot Pain,127
S448,rater_3,RES0008,gpt-oss-120b,RES,Pneumonia,128
S449,rater_3,MSK0003,gpt-oss-120b,MSK,Back Pain,129
S450,rater_3,MSK0035,gpt-oss-120b,MSK,Wrist Injury,130
S451,rater_3,CAR0002,qwen3-32b,CAR,Chest Pain,131
S452,rater_3,RES0027,qwen3-32b,RES,Acute Bronchitis,132
S453,rater_3,RES0155,qwen3-32b,RES,Pneumonia,133
S454,rater_3,GAS0005,gpt-oss-120b,GAS,Gastroenteritis,134
S455,rater_3,RES0058,gpt-oss-120b,RES,Upper Respiratory Infection,135
S456,rater_3,RES0007,qwen3-32b,RES,Asthma,136
S457,rater_3,MSK0041,gpt-oss-20b,MSK,Foot Pain,137
S458,rater_3,RES0023,qwen3-32b,RES,Acute Bronchitis,138
S459,rater_3,RES0168,qwen3-32b,RES,Sinus Infection,139
S460,rater_3,RES0178,gpt-oss-20b,RES,Upper Respiratory Infection,140
S461,rater_3,MSK0035,gpt-oss-20b,MSK,Wrist Injury,141
S462,rater_3,RES0060,gpt-oss-120b,RES,Acute Bronchitis,142
S463,rater_3,MSK0016,gpt-oss-20b,MSK,Carpal Tunnel Syndrome,143
S464,rater_3,MSK0037,gpt-oss-120b,MSK,Dupuytren's Contracture,144
S465,rater_3,RES0111,gpt-oss-120b,RES,Sore Throat,145
S466,rater_3,GAS0001,qwen3-32b,GAS,Morning Sickness,146
S467,rater_3,MSK0019,medgemma-4b,MSK,Tennis Elbow,147
S468,rater_3,MSK0016,medgemma-4b,MSK,Carpal Tunnel Syndrome,148
S469,rater_3,MSK0028,gpt-oss-120b,MSK,Bicep Tendonitis,149
S470,rater_3,RES0155,gpt-oss-20b,RES,Pneumonia,150
S471,rater_3,MSK0016,gpt-oss-120b,MSK,Carpal Tunnel Syndrome,151
S472,rater_3,CAR0004,medgemma-4b,CAR,Chest Pain,152
S473,rater_3,RES0036,gpt-oss-20b,RES,Pneumonia,153
S474,rater_3,MSK0031,gpt-oss-20b,MSK,Hip Fracture,154
S475,rater_3,RES0007,gpt-oss-120b,RES,Asthma,155
S476,rater_3,CAR0005,gpt-oss-120b,CAR,Chest Pain,156
S477,rater_3,RES0024,gpt-oss-120b,RES,Loss of Smell,157
S478,rater_3,RES0111,medgemma-4b,RES,Sore Throat,158
S479,rater_3,CAR0005,medgemma-4b,CAR,Chest Pain,159
S480,rater_3,RES0058,qwen3-32b,RES,Upper Respiratory Infection,160
